aX,aY,aZ,gX,gY,gZ
0.005,0.116,0.884,44.006,-56.335,50.293
0.016,0.262,0.738,52.734,-48.767,47.058
0.015,0.388,0.651,54.810,-37.964,47.974
0.065,0.397,0.612,57.434,-26.917,56.702
0.133,0.289,0.660,63.721,-14.893,67.932
0.255,0.132,0.749,66.711,-7.385,76.538
0.345,-0.117,0.810,70.862,-6.348,81.238
0.418,-0.355,0.742,72.266,-14.404,78.552
0.490,-0.464,0.586,66.040,-23.254,67.688
0.482,-0.423,0.451,53.284,-27.588,51.331
0.482,-0.298,0.344,46.936,-23.621,36.743
0.489,-0.168,0.267,47.546,-13.306,26.978
0.499,-0.097,0.257,50.659,-1.221,22.644
0.514,-0.130,0.297,51.392,7.874,22.400
0.559,-0.203,0.368,46.753,17.212,23.499
0.599,-0.272,0.477,37.659,22.827,22.888
0.632,-0.327,0.596,30.640,25.085,20.264
0.686,-0.365,0.686,27.344,24.292,15.137
0.717,-0.388,0.682,25.513,18.066,7.812
0.731,-0.395,0.584,25.452,8.789,-1.343
0.728,-0.360,0.516,22.461,6.592,-11.963
0.717,-0.179,0.496,19.470,12.512,-22.522
0.697,-0.149,0.543,19.043,22.522,-26.855
0.680,-0.103,0.622,14.771,31.494,-29.358
0.649,-0.135,0.715,10.681,36.621,-29.114
0.640,-0.169,0.783,7.690,37.476,-29.907
0.587,-0.230,0.811,4.150,34.424,-31.860
0.573,-0.304,0.832,1.343,31.982,-34.912
0.533,-0.321,0.800,0.549,27.039,-41.382
0.490,-0.325,0.767,2.930,22.644,-49.133
0.449,-0.333,0.749,6.836,22.644,-56.946
0.405,-0.312,0.797,9.460,25.818,-64.758

0.323,0.072,2.385,117.981,59.753,-17.090
0.306,0.105,2.386,111.267,41.138,-18.738
0.307,0.110,2.256,101.135,13.672,-19.348
0.310,0.083,2.084,88.440,-11.841,-16.235
0.315,-0.010,1.890,79.285,-30.334,-12.878
0.332,-0.117,1.738,75.989,-41.077,-12.573
0.329,-0.212,1.571,75.867,-49.011,-17.700
0.284,-0.120,1.381,78.552,-54.199,-27.039
0.245,-0.035,1.211,85.327,-52.307,-33.325
0.195,0.070,1.125,88.745,-43.457,-36.072
0.134,0.135,1.002,88.501,-38.696,-34.546
0.125,0.143,0.892,84.961,-35.950,-30.090
0.195,0.033,0.912,76.172,-28.687,-23.743
0.227,-0.115,1.090,69.885,-21.729,-24.536
0.270,-0.198,1.181,78.003,-24.231,-32.410
0.259,-0.182,1.040,98.694,-38.269,-46.326
0.238,-0.038,0.794,113.159,-53.650,-59.814
0.205,0.105,0.668,114.502,-57.251,-68.359
0.193,0.167,0.610,111.389,-55.481,-70.435
0.157,0.210,0.506,108.948,-56.702,-69.153
0.151,0.178,0.396,110.657,-56.213,-65.674
0.152,0.148,0.328,109.009,-51.208,-62.073
0.118,0.103,0.268,103.271,-45.959,-59.082
0.118,0.052,0.170,96.619,-41.260,-56.274
0.089,0.104,0.072,89.172,-35.156,-53.772
0.112,0.008,0.073,83.069,-25.696,-47.485
0.151,-0.019,0.135,72.754,-17.639,-45.410
0.183,-0.049,0.284,63.171,-11.414,-44.617
0.194,-0.060,0.437,57.068,-10.315,-49.072
0.188,-0.053,0.450,56.030,-21.362,-51.575
0.163,-0.020,0.299,56.030,-38.757,-53.223
0.137,0.023,0.101,49.683,-51.819,-53.162
0.105,0.075,-0.054,35.461,-58.167,-50.720
0.073,0.066,-0.180,23.926,-58.228,-45.349
0.077,0.040,-0.272,16.174,-53.528,-40.344
0.038,0.036,-0.363,11.353,-46.509,-35.889
0.037,0.027,-0.406,11.719,-36.804,-32.593
0.009,0.018,-0.368,10.986,-22.766,-29.663
0.026,0.025,-0.285,6.287,-8.484,-28.198
0.018,0.032,-0.216,2.197,0.244,-27.039
0.011,0.015,-0.198,-0.732,3.601,-24.170
-0.018,-0.031,-0.204,-4.333,5.066,-20.081
-0.013,-0.089,-0.225,-10.620,5.859,-14.954
-0.014,-0.070,-0.241,-20.081,7.263,-9.033
-0.058,-0.098,-0.293,-30.151,10.376,-4.150
-0.034,-0.056,-0.277,-44.617,17.700,-3.540
